,user_id,item_id,score,rank
0,1,475,3.6689894,1
1,1,202,3.4409144,2
2,1,433,3.3670955,3
3,1,408,3.3392026,4
4,1,318,3.2121282,5
5,1,275,3.049468,6
6,1,403,3.040694,7
7,1,655,2.9821897,8
8,1,474,2.9200962,9
9,1,423,2.8565917,10
10,2,328,2.0357323,1
11,2,50,1.8571712,2
12,2,333,1.7549648,3
13,2,748,1.6207619,4
14,2,268,1.6162806,5
15,2,9,1.5734557,6
16,2,124,1.5526116,7
17,2,245,1.5423869,8
18,2,117,1.5223821,9
19,2,137,1.5167943,10
20,3,313,2.2154608,1
21,3,286,1.7005051,2
22,3,328,1.6920663,3
23,3,269,1.5654688,4
24,3,315,1.5455589,5
25,3,316,1.2643343,6
26,3,332,1.2534271,7
27,3,294,1.2492274,8
28,3,301,1.2381828,9
29,3,750,1.2166456,10
30,4,313,1.2618424,1
31,4,302,1.1489277,2
32,4,286,1.0065435,3
33,4,272,0.9166405,4
34,4,288,0.86381376,5
35,4,333,0.8572421,6
36,4,307,0.838999,7
37,4,269,0.8018612,8
38,4,326,0.7845325,9
39,4,315,0.7568773,10
40,5,1,2.94356,1
41,5,175,2.8762805,2
42,5,91,2.755787,3
43,5,195,2.7414129,4
44,5,588,2.615554,5
45,5,202,2.5615373,6
46,5,82,2.4676042,7
47,5,96,2.4486353,8
48,5,7,2.3975427,9
49,5,474,2.0203094,10
50,6,603,5.0122023,1
51,6,654,4.468115,2
52,6,23,4.00542,3
53,6,705,3.503129,4
54,6,657,3.4953525,5
55,6,98,3.4289079,6
56,6,181,3.0700114,7
57,6,172,3.0697978,8
58,6,663,3.0505998,9
59,6,430,3.0324926,10
60,7,218,5.386255,1
61,7,479,4.2524734,2
62,7,661,3.7028542,3
63,7,222,3.4262078,4
64,7,705,3.3096924,5
65,7,739,3.099221,6
66,7,525,2.9726021,7
67,7,708,2.8765693,8
68,7,735,2.8662927,9
69,7,58,2.7921019,10
70,8,89,2.75378,1
71,8,22,2.3583055,2
72,8,79,2.3452556,3
73,8,50,2.3057575,4
74,8,230,2.068015,5
75,8,265,2.0635889,6
76,8,226,1.8377712,7
77,8,385,1.8109783,8
78,8,550,1.677353,9
79,8,161,1.6481124,10
80,9,181,0.64005774,1
81,9,1,0.5774016,2
82,9,258,0.54747707,3
83,9,100,0.54281646,4
84,9,222,0.5121208,5
85,9,121,0.48315912,6
86,9,98,0.44043756,7
87,9,151,0.42426178,8
88,9,127,0.39814717,9
89,9,257,0.39440587,10
90,10,100,4.2879186,1
91,10,187,4.1732335,2
92,10,427,3.9664824,3
93,10,514,3.9371195,4
94,10,318,3.8387625,5
95,10,523,3.017483,6
96,10,504,2.8654466,7
97,10,423,2.7572882,8
98,10,204,2.660268,9
99,10,209,2.6201754,10
100,11,275,2.669209,1
101,11,50,2.4399576,2
102,11,174,2.2615933,3
103,11,582,2.2340631,4
104,11,655,2.1466944,5
105,11,172,2.1301763,6
106,11,143,2.1166852,7
107,11,210,2.084656,8
108,11,82,2.0782244,9
109,11,313,2.0737934,10
110,12,64,2.0914602,1
111,12,22,1.9541953,2
112,12,423,1.8089887,3
113,12,97,1.705752,4
114,12,56,1.6788844,5
115,12,357,1.6535845,6
116,12,204,1.6036057,7
117,12,79,1.6019795,8
118,12,172,1.574387,9
119,12,237,1.5452608,10
120,13,479,4.7553973,1
121,13,134,4.3266163,2
122,13,272,4.1610193,3
123,13,186,4.0382447,4
124,13,203,3.7619553,5
125,13,526,3.6091397,6
126,13,136,3.428231,7
127,13,496,3.3362484,8
128,13,213,3.1755495,9
129,13,607,3.165052,10
130,14,1,3.1076808,1
131,14,257,2.2988276,2
132,14,209,2.2967107,3
133,14,174,2.2568874,4
134,14,483,2.1683254,5
135,14,137,2.1574414,6
136,14,169,1.9839929,7
137,14,153,1.9750051,8
138,14,98,1.950641,9
139,14,474,1.9391074,10
140,15,100,2.593642,1
141,15,117,2.5491514,2
142,15,313,2.3948243,3
143,15,405,2.2389674,4
144,15,276,2.2065194,5
145,15,294,2.0901518,6
146,15,25,1.9680353,7
147,15,222,1.9598799,8
