,user_id,item_id,score,rank
0,1,222,4.041259,1
1,1,228,3.8576472,2
2,1,475,3.6807768,3
3,1,408,3.5473852,4
4,1,433,3.2005045,5
5,1,318,3.1618154,6
6,1,64,3.1463506,7
7,1,403,3.0623913,8
8,1,275,2.886886,9
9,1,405,2.7536469,10
10,2,313,2.1112902,1
11,2,117,1.8828415,2
12,2,9,1.8045354,3
13,2,257,1.739478,4
14,2,124,1.7356765,5
15,2,15,1.6532053,6
16,2,181,1.6439079,7
17,2,471,1.6230718,8
18,2,121,1.5772529,9
19,2,137,1.5731736,10
20,3,313,2.714174,1
21,3,300,2.1732762,2
22,3,286,1.8475085,3
23,3,269,1.7937354,4
24,3,315,1.5588855,5
25,3,751,1.4211516,6
26,3,750,1.3536388,7
27,3,748,1.3464475,8
28,3,690,1.3461269,9
29,3,301,1.343642,10
30,4,313,0.98931515,1
31,4,258,0.9426125,2
32,4,300,0.8470576,3
33,4,333,0.6909076,4
34,4,328,0.6760296,5
35,4,286,0.67345375,6
36,4,302,0.64861935,7
37,4,272,0.64185464,8
38,4,268,0.62946886,9
39,4,269,0.5728411,10
40,5,91,2.7898104,1
41,5,82,2.7027192,2
42,5,195,2.6741817,3
43,5,7,2.6097286,4
44,5,175,2.5904026,5
45,5,588,2.53792,6
46,5,202,2.4427075,7
47,5,96,2.3458428,8
48,5,83,1.9365691,9
49,5,62,1.8794181,10
50,6,603,4.8804765,1
51,6,654,4.3011336,2
52,6,357,4.2463717,3
53,6,705,3.6688592,4
54,6,657,3.4581025,5
55,6,211,3.4527786,6
56,6,181,3.3722415,7
57,6,172,3.0669675,8
58,6,430,3.020617,9
59,6,478,2.9925961,10
60,7,200,5.6916957,1
61,7,218,5.088088,2
62,7,705,3.6060612,3
63,7,525,3.4786456,4
64,7,478,3.431602,5
65,7,209,3.2214775,6
66,7,222,3.187487,7
67,7,493,2.9933038,8
68,7,739,2.8096561,9
69,7,378,2.7832851,10
70,8,172,2.2458994,1
71,8,144,2.126665,2
72,8,230,2.021446,3
73,8,56,2.0208282,4
74,8,226,1.8850468,5
75,8,265,1.8150887,6
76,8,98,1.7955712,7
77,8,568,1.6136849,8
78,8,62,1.6027341,9
79,8,161,1.5664479,10
80,9,127,0.41191754,1
81,9,258,0.40752077,2
82,9,302,0.39576116,3
83,9,300,0.38989487,4
84,9,313,0.38306955,5
85,9,100,0.3572213,6
86,9,269,0.32504842,7
87,9,50,0.3062656,8
88,9,515,0.30601096,9
89,9,328,0.29092413,10
90,10,514,3.932565,1
91,10,427,3.836473,2
92,10,187,3.8202155,3
93,10,318,3.6009922,4
